,name,accept,level
837,Maximize Sum Of Array After K Negations    ,51.5%,Easy
10,Container With Most Water    ,51.5%,Medium
1189,Minimum Difference Between Largest and Smallest Value in Three Moves    ,51.5%,Medium
692,Lemonade Change    ,51.5%,Easy
942,Prime Arrangements    ,51.4%,Easy
795,Minimum Area Rectangle II    ,51.3%,Medium
927,Binary Tree Coloring Game    ,51.3%,Medium
118,Pascal's Triangle II    ,51.2%,Easy
23,Swap Nodes in Pairs    ,51.2%,Medium
1233,Minimum Number of Days to Disconnect Island    ,51.2%,Hard
859,Longest Arithmetic Subsequence    ,51.1%,Medium
593,Cracking the Safe    ,51.1%,Hard
526,Bulb Switcher II    ,51.0%,Medium
652,Short Encoding of Words    ,51.0%,Medium
120,Best Time to Buy and Sell Stock    ,51.0%,Easy
735,Valid Permutations for DI Sequence    ,51.0%,Hard
478,Minimum Index Sum of Two Lists    ,51.0%,Easy
283,House Robber III    ,50.9%,Medium
510,Find Duplicate Subtrees    ,50.9%,Medium
665,Find And Replace in String    ,50.9%,Medium
182,Number of 1 Bits    ,50.8%,Easy
323,Decode String    ,50.8%,Medium
743,Online Election    ,50.8%,Medium
425,Coin Change 2    ,50.7%,Medium
287,Integer Break    ,50.7%,Medium
193,Happy Number    ,50.7%,Easy
487,Task Scheduler    ,50.7%,Medium
416,Relative Ranks    ,50.7%,Easy
845,Partition Array Into Three Parts With Equal Sum    ,50.6%,Easy
588,Min Cost Climbing Stairs    ,50.6%,Easy
223,Implement Queue using Stacks    ,50.6%,Easy
1108,Number of Steps to Reduce a Number in Binary Representation to One    ,50.6%,Medium
301,Sum of Two Integers    ,50.6%,Medium
226,Lowest Common Ancestor of a Binary Search Tree    ,50.6%,Easy
981,Tiling a Rectangle with the Fewest Squares    ,50.5%,Hard
1268,Maximal Network Rank    ,50.5%,Medium
393,Total Hamming Distance    ,50.5%,Medium
199,Implement Trie (Prefix Tree)    ,50.4%,Medium
645,Largest Sum of Averages    ,50.4%,Medium
372,Minimum Moves to Equal Array Elements    ,50.4%,Easy
451,Brick Wall    ,50.3%,Medium
113,Flatten Binary Tree to Linked List    ,50.3%,Medium
1218,Minimum Cost to Cut a Stick    ,50.1%,Hard
1109,Longest Happy String    ,50.1%,Medium
374,Assign Cookies    ,50.0%,Easy
572,Number of Atoms    ,50.0%,Hard
553,Kth Largest Element in a Stream    ,50.0%,Easy
839,Minimum Domino Rotations For Equal Row    ,50.0%,Medium
829,Find the Town Judge    ,49.9%,Easy
371,Minimum Number of Arrows to Burst Balloons    ,49.9%,Medium
104,Construct Binary Tree from Preorder and Inorder Traversal    ,49.9%,Medium
568,Accounts Merge    ,49.9%,Medium
999,Number of Burgers with No Waste of Ingredients    ,49.9%,Medium
489,Add One Row to Tree    ,49.9%,Medium
662,Positions of Large Groups    ,49.8%,Easy
689,Minimum Cost to Hire K Workers    ,49.8%,Hard
1234,Number of Ways to Reorder Array to Get Same BST    ,49.8%,Hard
580,Parse Lisp Expression    ,49.8%,Hard
128,Sum Root to Leaf Numbers    ,49.8%,Medium
41,Trapping Rain Water    ,49.7%,Hard
871,Minimum Score Triangulation of Polygon    ,49.7%,Medium
404,Construct the Rectangle    ,49.7%,Easy
576,My Calendar II    ,49.7%,Medium
565,Maximum Length of Repeated Subarray    ,49.7%,Medium
1033,Distinct Echo Substrings    ,49.7%,Hard
477,Range Addition II    ,49.6%,Easy
891,Insufficient Nodes in Root to Leaf Paths    ,49.6%,Medium
88,Gray Code    ,49.6%,Medium
540,Knight Probability in Chessboard    ,49.5%,Medium
824,Subarrays with K Different Integers    ,49.5%,Hard
806,Subarray Sums Divisible by K    ,49.5%,Medium
509,2 Keys Keyboard    ,49.5%,Medium
1012,Maximum Side Length of a Square with Sum Less than or Equal to Threshold    ,49.5%,Medium
1004,Find the Smallest Divisor Given a Threshold    ,49.5%,Medium
826,Rotting Oranges    ,49.4%,Medium
35,Valid Sudoku    ,49.4%,Medium
321,Is Subsequence    ,49.4%,Easy
629,Rotate String    ,49.4%,Easy
472,Fraction Addition and Subtraction    ,49.4%,Medium
603,Reorganize String    ,49.3%,Medium
922,Alphabet Board Path    ,49.2%,Medium
634,Find Eventual Safe States    ,49.2%,Medium
856,Video Stitching    ,49.2%,Medium
930,Day of the Year    ,49.2%,Easy
39,Combination Sum II    ,49.1%,Medium
604,Max Chunks To Make Sorted II    ,49.1%,Hard
467,Delete Operation for Two Strings    ,49.1%,Medium
102,Binary Tree Zigzag Level Order Traversal    ,49.0%,Medium
670,Push Dominoes    ,49.0%,Medium
766,Shortest Bridge    ,49.0%,Medium
953,Critical Connections in a Network    ,49.0%,Hard
8,Palindrome Number    ,48.9%,Easy
458,Binary Tree Tilt    ,48.9%,Easy
642,Chalkboard XOR Game    ,48.8%,Hard
583,Delete and Earn    ,48.8%,Medium
445,Diameter of Binary Tree    ,48.7%,Easy
1162,Paint House III    ,48.7%,Hard
897,Statistics from a Large Sample    ,48.7%,Medium
130,Palindrome Partitioning    ,48.7%,Medium
108,Convert Sorted List to Binary Search Tree    ,48.7%,Medium
883,Previous Permutation With One Swap    ,48.7%,Medium
484,Valid Triangle Number    ,48.7%,Medium
410,Diagonal Traverse    ,48.7%,Medium
567,Longest Word in Dictionary    ,48.6%,Easy
443,Reverse String II    ,48.6%,Easy
26,Remove Element    ,48.6%,Easy
1016,Maximum Number of Occurrences of a Substring    ,48.6%,Medium
431,Longest Word in Dictionary through Deleting    ,48.6%,Medium
296,Count Numbers with Unique Digits    ,48.5%,Medium
1246,Check If String Is Transformable With Substring Sort Operations    ,48.4%,Hard
980,Maximum Length of a Concatenated String with Unique Characters    ,48.4%,Medium
958,Sort Items by Groups Respecting Dependencies    ,48.4%,Hard
864,Stream of Characters    ,48.4%,Hard
1169,Minimum Number of Days to Make m Bouquets    ,48.3%,Medium
401,Predict the Winner    ,48.3%,Medium
254,Serialize and Deserialize Binary Tree    ,48.3%,Hard
874,Flower Planting With No Adjacent    ,48.2%,Easy
931,Number of Dice Rolls With Target Sum    ,48.1%,Medium
357,Find Right Interval    ,48.1%,Medium
69,Climbing Stairs    ,48.1%,Easy
668,Rectangle Overlap    ,48.1%,Easy
74,Sort Colors    ,48.1%,Medium
105,Construct Binary Tree from Inorder and Postorder Traversal    ,48.1%,Medium
932,Swap For Longest Repeated Character Substring    ,48.1%,Medium
923,Largest 1-Bordered Square    ,48.0%,Medium
564,1-bit and 2-bit Characters    ,48.0%,Easy
309,Insert Delete GetRandom O(1)    ,48.0%,Medium
245,Perfect Squares    ,48.0%,Medium
682,Rectangle Area II    ,48.0%,Hard
705,Length of Longest Fibonacci Subsequence    ,47.9%,Medium
1239,Replace All ?'s to Avoid Consecutive Repeating Characters    ,47.9%,Easy
330,Binary Watch    ,47.9%,Easy
748,Word Subsets    ,47.9%,Medium
293,Data Stream as Disjoint Intervals    ,47.8%,Hard
1221,Magnetic Force Between Two Balls    ,47.8%,Medium
342,Add Strings    ,47.8%,Easy
618,Is Graph Bipartite?    ,47.8%,Medium
89,Subsets II    ,47.7%,Medium
50,N-Queens    ,47.7%,Hard
1245,Min Cost to Connect All Points    ,47.7%,Medium
397,Magical String    ,47.7%,Medium
1070,Number of Days Between Two Dates    ,47.7%,Easy
992,Greatest Sum Divisible by Three    ,47.7%,Medium
377,Poor Pigs    ,47.7%,Hard
262,Best Time to Buy and Sell Stock with Cooldown    ,47.7%,Medium
213,Count Complete Tree Nodes    ,47.7%,Medium
625,Number of Matching Subsequences    ,47.7%,Medium
850,Binary Prefix Divisible By 5    ,47.6%,Easy
112,Path Sum II    ,47.6%,Medium
16,Letter Combinations of a Phone Number    ,47.6%,Medium
358,Path Sum III    ,47.5%,Medium
842,Pairs of Songs With Total Durations Divisible by 60    ,47.5%,Easy
648,Ambiguous Coordinates    ,47.5%,Medium
798,Vowel Spellchecker    ,47.5%,Medium
349,Longest Repeating Character Replacement    ,47.5%,Medium
828,Number of Squareful Arrays    ,47.4%,Hard
191,Number of Islands    ,47.4%,Medium
46,Permutations II    ,47.3%,Medium
170,Rank Scores    ,47.3%,Medium
827,Minimum Number of K Consecutive Bit Flips    ,47.3%,Hard
100,Symmetric Tree    ,47.3%,Easy
957,Smallest String With Swaps    ,47.2%,Medium
713,Boats to Save People    ,47.2%,Medium
752,Number of Music Playlists    ,47.1%,Hard
474,Longest Harmonious Subsequence    ,47.1%,Easy
492,Maximum Product of Three Numbers    ,47.1%,Easy
348,Reconstruct Original Digits from English    ,47.1%,Medium
52,Maximum Subarray    ,47.0%,Easy
522,Kth Smallest Number in Multiplication Table    ,47.0%,Hard
916,Smallest Sufficient Team    ,46.9%,Hard
917,Number of Equivalent Domino Pairs    ,46.9%,Easy
533,24 Game    ,46.8%,Hard
227,Lowest Common Ancestor of a Binary Tree    ,46.8%,Medium
641,Expressive Words    ,46.8%,Medium
615,Transform to Chessboard    ,46.7%,Hard
628,Number of Subarrays with Bounded Maximum    ,46.7%,Medium
1121,Minimum Number of Frogs Croaking    ,46.7%,Medium
676,Backspace String Compare    ,46.7%,Easy
541,Maximum Sum of 3 Non-Overlapping Subarrays    ,46.7%,Hard
403,Increasing Subsequences    ,46.7%,Medium
810,Longest Turbulent Subarray    ,46.6%,Medium
1258,Maximum Number of Achievable Transfer Requests    ,46.6%,Hard
591,Contain Virus    ,46.6%,Hard
1208,Find the Winner of an Array Game    ,46.6%,Medium
777,Minimum Increment to Make Array Unique    ,46.5%,Medium
970,Dice Roll Simulation    ,46.5%,Medium
248,Peeking Iterator    ,46.5%,Medium
675,Guess the Word    ,46.4%,Hard
115,Populating Next Right Pointers in Each Node    ,46.4%,Medium
660,Count Unique Characters of All Substrings of a Given String    ,46.4%,Hard
820,Smallest String Starting From Leaf    ,46.4%,Medium
415,Base 7    ,46.3%,Easy
803,Flip Binary Tree To Match Preorder Traversal    ,46.1%,Medium
600,Largest Plus Sign    ,46.1%,Medium
15,3Sum Closest    ,46.1%,Medium
659,Making A Large Island    ,46.1%,Hard
216,Implement Stack using Queues    ,46.1%,Easy
406,Target Sum    ,46.0%,Medium
768,Stamping The Sequence    ,46.0%,Hard
448,Student Attendance Record I    ,46.0%,Easy
823,Broken Calculator    ,46.0%,Medium
0,Two Sum    ,45.9%,Easy
528,Longest Continuous Increasing Subsequence    ,45.9%,Easy
66,Add Binary    ,45.9%,Easy
702,Advantage Shuffle    ,45.9%,Medium
387,Implement Rand10() Using Rand7()    ,45.8%,Medium
977,Maximum Profit in Job Scheduling    ,45.8%,Hard
258,Range Sum Query - Immutable    ,45.8%,Easy
1071,Validate Binary Tree Nodes    ,45.8%,Medium
82,Remove Duplicates from Sorted List    ,45.8%,Easy
747,Partition Array into Disjoint Intervals    ,45.7%,Medium
822,Satisfiability of Equality Equations    ,45.7%,Medium
965,Longest Arithmetic Subsequence of Given Difference    ,45.7%,Medium
794,Maximum Width Ramp    ,45.7%,Medium
1152,Check If a String Contains All Binary Codes of Size K    ,45.7%,Medium
25,Remove Duplicates from Sorted Array    ,45.7%,Easy
963,Minimum Moves to Reach Target with Rotations    ,45.6%,Hard
71,Edit Distance    ,45.6%,Hard
127,Longest Consecutive Sequence    ,45.6%,Hard
307,Combination Sum IV    ,45.6%,Medium
767,Knight Dialer    ,45.6%,Medium
1252,Split a String Into the Max Number of Unique Substrings    ,45.6%,Medium
586,Find Smallest Letter Greater Than Target    ,45.5%,Easy
926,Decrease Elements To Make Array Zigzag    ,45.5%,Medium
1048,Find the City With the Smallest Number of Neighbors at a Threshold Distance    ,45.4%,Medium
152,Find Minimum in Rotated Sorted Array    ,45.4%,Medium
265,Super Ugly Number    ,45.4%,Medium
338,Split Array Largest Sum    ,45.3%,Hard
269,Bulb Switcher    ,45.3%,Medium
253,Find Median from Data Stream    ,45.3%,Hard
37,Count and Say    ,45.2%,Easy
154,Min Stack    ,45.2%,Easy
651,Most Common Word    ,45.1%,Easy
1094,Pizza With 3n Slices    ,45.1%,Hard
585,Network Delay Time    ,45.0%,Medium
866,Coloring A Border    ,45.0%,Medium
549,Partition to K Equal Sum Subsets    ,45.0%,Medium
454,Logical OR of Two Binary Grids Represented as Quad-Trees    ,44.9%,Medium
581,Monotone Increasing Digits    ,44.9%,Medium
119,Triangle    ,44.8%,Medium
1242,Remove Max Number of Edges to Keep Graph Fully Traversable    ,44.8%,Hard
680,Shifting Letters    ,44.8%,Medium
1097,Check if There is a Valid Path in a Grid    ,44.8%,Medium
1226,Detect Cycles in 2D Grid    ,44.7%,Hard
974,Check If It Is a Straight Line    ,44.6%,Easy
319,Elimination Game    ,44.6%,Medium
36,Sudoku Solver    ,44.6%,Hard
369,Delete Node in a BST    ,44.6%,Medium
718,Possible Bipartition    ,44.5%,Medium
1124,Maximum Points You Can Obtain from Cards    ,44.5%,Medium
1126,Constrained Subsequence Sum    ,44.5%,Hard
388,Concatenated Words    ,44.5%,Hard
570,Find Pivot Index    ,44.5%,Easy
289,Reverse Vowels of a String    ,44.5%,Easy
1042,Break a Palindrome    ,44.5%,Medium
488,Design Circular Queue    ,44.5%,Medium
821,Add to Array-Form of Integer    ,44.4%,Easy
631,Smallest Rotation with Highest Score    ,44.4%,Hard
1182,Max Value of Equation    ,44.4%,Hard
462,Permutation in String    ,44.4%,Medium
663,Masking Personal Information    ,44.4%,Medium
666,Sum of Distances in Tree    ,44.4%,Hard
79,Remove Duplicates from Sorted Array II    ,44.4%,Medium
796,Least Operators to Express Number    ,44.3%,Hard
524,Maximum Swap    ,44.3%,Medium
880,Last Stone Weight II    ,44.3%,Medium
434,Random Pick with Weight    ,44.2%,Medium
463,Subtree of Another Tree    ,44.2%,Easy
1041,Minimum Number of Taps to Open to Water a Garden    ,44.2%,Hard
334,Convert a Number to Hexadecimal    ,44.1%,Easy
343,Partition Equal Subset Sum    ,44.1%,Medium
936,As Far from Land as Possible    ,43.9%,Medium
359,Find All Anagrams in a String    ,43.9%,Medium
1251,Rearrange Spaces Between Words    ,43.9%,Easy
516,Split Array into Consecutive Subsequences    ,43.9%,Medium
1125,Diagonal Traverse II    ,43.8%,Medium
109,Balanced Binary Tree    ,43.8%,Easy
230,Sliding Window Maximum    ,43.8%,Hard
276,Longest Increasing Path in a Matrix    ,43.8%,Hard
456,Subarray Sum Equals K    ,43.8%,Medium
255,Bulls and Cows    ,43.8%,Medium
222,Power of Two    ,43.8%,Easy
257,Remove Invalid Parentheses    ,43.8%,Hard
884,Distant Barcodes    ,43.8%,Medium
799,Numbers With Same Consecutive Differences    ,43.8%,Medium
1028,Get Watched Videos by Your Friends    ,43.8%,Medium
762,Binary Subarrays With Sum    ,43.7%,Medium
304,Guess Number Higher or Lower    ,43.7%,Easy
356,Non-overlapping Intervals    ,43.6%,Medium
1019,Sum of Mutated Array Closest to Target    ,43.6%,Medium
198,Course Schedule    ,43.6%,Medium
72,Set Matrix Zeroes    ,43.6%,Medium
147,Sort List    ,43.5%,Medium
156,Find Peak Element    ,43.5%,Medium
421,Freedom Trail    ,43.5%,Hard
1198,Find a Value of a Mysterious Function Closest to Target    ,43.5%,Hard
446,Remove Boxes    ,43.5%,Hard
1153,Course Schedule IV    ,43.4%,Medium
231,Search a 2D Matrix II    ,43.4%,Medium
473,Valid Square    ,43.3%,Medium
687,Exam Room    ,43.3%,Medium
1133,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit    ,43.3%,Medium
654,Card Flipping Game    ,43.3%,Medium
543,Stickers to Spell Word    ,43.2%,Hard
657,Friends Of Appropriate Ages    ,43.2%,Medium
685,Car Fleet    ,43.2%,Medium
1256,Maximum Profit of Operating a Centennial Wheel    ,43.2%,Medium
24,Reverse Nodes in k-Group    ,43.1%,Hard
575,Count Different Palindromic Subsequences    ,43.1%,Hard
775,Find the Shortest Superstring    ,43.1%,Hard
390,Ones and Zeroes    ,43.1%,Medium
378,Repeated Substring Pattern    ,43.1%,Easy
398,License Key Formatting    ,43.0%,Easy
1061,Maximum Students Taking Exam    ,43.0%,Hard
997,Number of Ways to Stay in the Same Place After Some Steps    ,43.0%,Hard
1128,Max Difference You Can Get From Changing an Integer    ,43.0%,Medium
432,Contiguous Array    ,43.0%,Medium
1217,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target    ,42.9%,Medium
647,Bus Routes    ,42.9%,Hard
65,Plus One    ,42.9%,Easy
336,Trapping Rain Water II    ,42.9%,Hard
412,Find Mode in Binary Search Tree    ,42.8%,Easy
256,Longest Increasing Subsequence    ,42.8%,Medium
34,Search Insert Position    ,42.7%,Easy
1013,Shortest Path in a Grid with Obstacles Elimination    ,42.7%,Hard
961,Get Equal Substrings Within Budget    ,42.7%,Medium
525,Second Minimum Node In a Binary Tree    ,42.7%,Easy
1142,Form Largest Integer With Digits That Add up to Target    ,42.7%,Hard
1209,Minimum Swaps to Arrange a Binary Grid    ,42.6%,Medium
681,Maximize Distance to Closest Person    ,42.6%,Medium
736,Fruit Into Baskets    ,42.6%,Medium
480,Human Traffic of Stadium    ,42.5%,Hard
189,House Robber    ,42.5%,Easy
187,Delete Duplicate Emails    ,42.5%,Easy
1063,Product of the Last K Numbers    ,42.4%,Medium
501,Solve the Equation    ,42.4%,Medium
589,Largest Number At Least Twice of Others    ,42.4%,Easy
609,Global and Local Inversions    ,42.4%,Medium
993,Minimum Moves to Move a Box to Their Target Location    ,42.4%,Hard
865,Moving Stones Until Consecutive    ,42.3%,Easy
504,Set Mismatch    ,42.3%,Easy
239,Ugly Number II    ,42.3%,Medium
354,Minimum Genetic Mutation    ,42.3%,Medium
1105,Circle and Rectangle Overlapping    ,42.2%,Medium
85,Partition List    ,42.2%,Medium
361,Arranging Coins    ,42.1%,Easy
1150,Max Dot Product of Two Subsequences    ,42.1%,Hard
550,Falling Squares    ,42.1%,Hard
1231,Detect Pattern of Length M Repeated K or More Times    ,42.1%,Easy
317,Longest Absolute File Path    ,42.0%,Medium
266,Count of Smaller Numbers After Self    ,42.0%,Hard
273,Power of Three    ,42.0%,Easy
756,Minimize Malware Spread    ,41.9%,Hard
363,String Compression    ,41.9%,Medium
807,Odd Even Jump    ,41.9%,Hard
324,Longest Substring with At Least K Repeating Characters    ,41.8%,Medium
299,Valid Perfect Square    ,41.8%,Easy
153,Find Minimum in Rotated Sorted Array II    ,41.7%,Hard
344,Pacific Atlantic Water Flow    ,41.7%,Medium
804,Equal Rational Numbers    ,41.7%,Hard
714,Reachable Nodes In Subdivided Graph    ,41.7%,Hard
111,Path Sum    ,41.6%,Easy
140,Linked List Cycle    ,41.6%,Easy
146,Insertion Sort List    ,41.6%,Medium
238,Ugly Number    ,41.6%,Easy
155,Intersection of Two Linked Lists    ,41.6%,Easy
503,Maximum Average Subarray I    ,41.6%,Easy
949,Make Array Strictly Increasing    ,41.5%,Hard
201,Course Schedule II    ,41.4%,Medium
286,Power of Four    ,41.4%,Easy
772,Distinct Subsequences II    ,41.4%,Hard
94,Unique Binary Search Trees II    ,41.3%,Medium
940,Remove Zero Sum Consecutive Nodes from Linked List    ,41.3%,Medium
515,Find K Closest Elements    ,41.3%,Medium
579,Asteroid Collision    ,41.3%,Medium
1213,Minimum Insertions to Balance a Parentheses String    ,41.3%,Medium
1076,Linked List in Binary Tree    ,41.2%,Medium
305,Guess Number Higher or Lower II    ,41.1%,Medium
619,K-th Smallest Prime Fraction    ,41.1%,Hard
596,Set Intersection Size At Least Two    ,41.0%,Hard
22,Merge k Sorted Lists    ,41.0%,Hard
780,Bag of Tokens    ,40.9%,Medium
1098,Longest Happy Prefix    ,40.9%,Hard
987,Reconstruct a 2-Row Binary Matrix    ,40.9%,Medium
1254,Minimum Cost to Connect Two Groups of Points    ,40.8%,Hard
138,Word Break    ,40.8%,Medium
760,Minimize Malware Spread II    ,40.8%,Hard
519,Strange Printer    ,40.7%,Hard
413,IPO    ,40.7%,Hard
696,Shortest Path to Get All Keys    ,40.7%,Hard
1192,Number of Substrings With Only 1s    ,40.7%,Medium
181,Reverse Bits    ,40.6%,Easy
172,Consecutive Numbers    ,40.6%,Medium
278,Verify Preorder Serialization of a Binary Tree    ,40.6%,Medium
98,Recover Binary Search Tree    ,40.4%,Hard
332,Frog Jump    ,40.4%,Hard
1180,Check If Array Pairs Are Divisible by k    ,40.4%,Medium
518,Maximum Width of Binary Tree    ,40.4%,Medium
789,Prison Cells After N Days    ,40.4%,Medium
640,Soup Servings    ,40.3%,Medium
133,Gas Station    ,40.3%,Medium
626,Preimage Size of Factorial Zeroes Function    ,40.3%,Hard
1230,Stone Game V    ,40.3%,Hard
1260,Alert Using Same Key-Card Three or More Times in a One Hour Period    ,40.2%,Medium
444,01 Matrix    ,40.2%,Medium
561,Subarray Product Less Than K    ,40.2%,Medium
832,Minimum Cost to Merge Stones    ,40.1%,Hard
196,Isomorphic Strings    ,40.0%,Easy
802,Powerful Integers    ,40.0%,Easy
116,Populating Next Right Pointers in Each Node II    ,39.9%,Medium
219,Summary Ranges    ,39.9%,Medium
280,Increasing Triplet Subsequence    ,39.9%,Medium
711,Profitable Schemes    ,39.9%,Hard
306,Wiggle Subsequence    ,39.8%,Medium
55,Merge Intervals    ,39.8%,Medium
87,Merge Sorted Array    ,39.8%,Easy
402,Zuma Game    ,39.8%,Hard
225,Palindrome Linked List    ,39.7%,Easy
788,Tallest Billboard    ,39.6%,Hard
1057,Jump Game IV    ,39.6%,Hard
918,Shortest Path with Alternating Colors    ,39.5%,Medium
91,Reverse Linked List II    ,39.5%,Medium
623,Domino and Tromino Tiling    ,39.5%,Medium
192,Bitwise AND of Numbers Range    ,39.5%,Medium
757,Long Pressed Name    ,39.5%,Easy
142,Reorder List    ,39.4%,Medium
650,Race Car    ,39.3%,Hard
259,Range Sum Query 2D - Immutable    ,39.3%,Medium
620,Cheapest Flights Within K Stops    ,39.3%,Medium
19,Valid Parentheses    ,39.2%,Easy
178,Repeated DNA Sequences    ,39.2%,Medium
661,Consecutive Numbers Sum    ,39.1%,Hard
563,Range Module    ,39.1%,Hard
508,Dota2 Senate    ,39.1%,Medium
933,Online Majority Element In Subarray    ,39.1%,Hard
633,Minimum Swaps To Make Sequences Increasing    ,39.0%,Medium
122,Best Time to Buy and Sell Stock III    ,39.0%,Hard
671,Similar String Groups    ,39.0%,Hard
194,Remove Linked List Elements    ,38.9%,Easy
409,Random Point in Non-overlapping Rectangles    ,38.9%,Medium
188,Rising Temperature    ,38.9%,Easy
741,Snakes and Ladders    ,38.9%,Medium
1081,Maximum Sum BST in Binary Tree    ,38.8%,Hard
114,Distinct Subsequences    ,38.8%,Hard
202,Design Add and Search Words Data Structure    ,38.8%,Medium
59,Permutation Sequence    ,38.8%,Hard
1229,Find Latest Group of Size M    ,38.8%,Medium
1096,Four Divisors    ,38.7%,Medium
658,Most Profit Assigning Work    ,38.7%,Medium
200,Minimum Size Subarray Sum    ,38.7%,Medium
394,Generate Random Point in a Circle    ,38.6%,Medium
1130,Number of Ways to Wear Different Hats to Each Other    ,38.6%,Hard
1200,Number of Sub-arrays With Odd Sum    ,38.5%,Medium
895,Shortest Path in Binary Matrix    ,38.5%,Medium
84,Maximal Rectangle    ,38.4%,Hard
424,Super Washing Machines    ,38.4%,Hard
686,K-Similar Strings    ,38.3%,Hard
476,Classes More Than 5 Students    ,38.3%,Easy
944,Number of Valid Words for Each Puzzle    ,38.3%,Hard
267,Remove Duplicate Letters    ,38.2%,Medium
816,String Without AAA or BBB    ,38.2%,Medium
210,Contains Duplicate II    ,38.1%,Easy
800,Binary Tree Cameras    ,38.0%,Hard
1025,Verbal Arithmetic Puzzle    ,38.0%,Hard
251,Word Pattern    ,38.0%,Easy
141,Linked List Cycle II    ,38.0%,Medium
164,Factorial Trailing Zeroes    ,38.0%,Easy
297,Max Sum of Rectangle No Larger Than K    ,38.0%,Hard
212,Maximal Square    ,38.0%,Medium
300,Largest Divisible Subset    ,38.0%,Medium
220,Majority Element II    ,37.9%,Medium
214,Rectangle Area    ,37.9%,Medium
396,Sliding Window Median    ,37.9%,Hard
941,Dinner Plate Stacks    ,37.9%,Hard
948,Maximum Subarray Sum with One Deletion    ,37.9%,Medium
1193,Path with Maximum Probability    ,37.9%,Medium
176,Department Highest Salary    ,37.8%,Medium
137,Copy List with Random Pointer    ,37.8%,Medium
869,Valid Boomerang    ,37.8%,Easy
355,Number of Segments in a String    ,37.8%,Easy
389,Matchsticks to Square    ,37.8%,Medium
322,UTF-8 Validation    ,37.7%,Medium
110,Minimum Depth of Binary Tree    ,37.7%,Easy
1020,Number of Paths with Max Score    ,37.6%,Hard
1102,Find All Good Strings    ,37.6%,Hard
612,K-th Symbol in Grammar    ,37.6%,Medium
677,Longest Mountain in Array    ,37.6%,Medium
1181,Number of Subsequences That Satisfy the Given Sum Condition    ,37.6%,Medium
844,Numbers With Repeated Digits    ,37.5%,Hard
215,Basic Calculator    ,37.4%,Hard
218,Basic Calculator II    ,37.4%,Medium
672,Magic Squares In Grid    ,37.4%,Medium
81,Remove Duplicates from Sorted List II    ,37.4%,Medium
1052,Maximum Product of Splitted Binary Tree    ,37.3%,Medium
124,Valid Palindrome    ,37.2%,Easy
303,Find K Pairs with Smallest Sums    ,37.1%,Medium
426,Random Flip Matrix    ,37.1%,Medium
279,Reconstruct Itinerary    ,37.1%,Medium
1058,Check If N and Its Double Exist    ,37.1%,Easy
928,Snapshot Array    ,37.0%,Medium
819,Vertical Order Traversal of a Binary Tree    ,37.0%,Medium
449,Student Attendance Record II    ,36.9%,Hard
5,ZigZag Conversion    ,36.9%,Medium
149,Evaluate Reverse Polish Notation    ,36.9%,Medium
1240,Number of Ways Where Square of Number Is Equal to Product of Two Numbers    ,36.8%,Medium
534,Valid Palindrome II    ,36.7%,Easy
73,Search a 2D Matrix    ,36.7%,Medium
1194,Best Position for a Service Centre    ,36.6%,Hard
204,House Robber II    ,36.6%,Medium
33,Find First and Last Position of Element in Sorted Array    ,36.5%,Medium
539,Longest Univalue Path    ,36.5%,Easy
781,Largest Time for Given Digits    ,36.4%,Medium
244,First Bad Version    ,36.4%,Easy
674,Split Array into Fibonacci Sequence    ,36.4%,Medium
92,Restore IP Addresses    ,36.4%,Medium
325,Rotate Function    ,36.4%,Medium
302,Super Pow    ,36.4%,Medium
242,H-Index    ,36.3%,Medium
1118,Restore The Array    ,36.2%,Hard
271,Coin Change    ,36.2%,Medium
833,Grid Illumination    ,36.1%,Hard
157,Maximum Gap    ,36.1%,Hard
132,Clone Graph    ,36.1%,Medium
655,Binary Trees With Factors    ,36.1%,Medium
177,Department Top Three Salaries    ,36.1%,Hard
899,Find in Mountain Array    ,36.1%,Hard
243,H-Index II    ,36.1%,Medium
78,Word Search    ,36.0%,Medium
1186,Minimum Possible Integer After at Most K Adjacent Swaps On Digits    ,36.0%,Hard
632,Champagne Tower    ,36.0%,Medium
1196,Number of Nodes in the Sub-Tree With the Same Label    ,35.9%,Medium
246,Expression Add Operators    ,35.9%,Hard
399,Smallest Good Base    ,35.9%,Hard
468,Erect the Fence    ,35.9%,Hard
784,Largest Component Size by Common Factor    ,35.9%,Hard
755,3Sum With Multiplicity    ,35.9%,Medium
527,Number of Longest Increasing Subsequence    ,35.9%,Medium
385,Unique Substrings in Wraparound String    ,35.8%,Medium
83,Largest Rectangle in Histogram    ,35.8%,Hard
1232,Maximum Length of Subarray With Positive Product    ,35.8%,Medium
294,Russian Doll Envelopes    ,35.7%,Hard
13,Longest Common Prefix    ,35.7%,Easy
1210,Get the Maximum Score    ,35.7%,Hard
1214,Find Longest Awesome Substring    ,35.7%,Hard
786,Array of Doubled Pairs    ,35.6%,Medium
1262,Find Servers That Handled Most Number of Requests    ,35.6%,Hard
417,Perfect Number    ,35.6%,Easy
261,Range Sum Query - Mutable    ,35.5%,Medium
274,Count of Range Sum    ,35.5%,Hard
203,Word Search II    ,35.5%,Hard
